,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
1036,0,50,50,0,0,-0.9030899869919435,-0.47712125471966244,-3.4011973816621555,-0.6989700043360189,-3.4011973816621555,36,國立中正大學,政治學系,041132,0.0,0.0,0.0,0.0,0.0,24,0.0,2,72,1200,0.4,0.4,2
1131,50,50,50,0,50,-3.4011973816621555,-0.47712125471966244,-0.47712125471966244,-3.4011973816621555,-0.9030899869919435,36,國立中正大學,心理學系,041112,0.0,0.0,0.0,0.0,0.0,24,0.0,2,57,1000,0.0,0.5,1
1256,50,75,50,0,0,-1.0791812460476249,-0.47712125471966244,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,會計與資訊科技學系,041232,5.0,10.0,10.0,0.0,0.0,8,5.0,2,75,1200,0.4,0.2,4
1375,12,50,50,0,0,-0.7781512503836436,-0.6989700043360189,-0.9030899869919435,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,嘉星招生己組(社),041352,0.0,0.0,0.0,0.0,0.0,24,0.0,2,20,500,0.0,0.5,4
446,75,75,50,75,0,-0.5440680443502757,-0.5440680443502757,-0.9030899869919435,-0.9030899869919435,-3.4011973816621555,36,國立中正大學,財經法律學系,041272,3.0,3.0,3.0,3.0,0.0,1,3.0,2,57,1000,0.0,0.5,2
566,50,50,0,0,0,-1.0791812460476249,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,企業管理學系,041222,7.5,10.0,10.0,0.0,0.0,5,5.0,1,87,1200,0.3,0.2,3
1057,50,75,50,0,0,-3.4011973816621555,-3.4011973816621555,-1.0,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,資訊管理學系,041242,3.0,3.0,3.0,0.0,0.0,8,3.0,2,54,1200,0.0,0.5,7
1060,50,50,0,0,0,-0.8450980400142568,-0.7781512503836436,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,嘉星招生乙組(管),041312,0.0,0.0,0.0,0.0,0.0,24,0.0,2,40,500,0.0,0.6,4
1236,50,50,50,0,0,-3.4011973816621555,-0.6020599913279624,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,財務金融學系,041212,5.0,10.0,10.0,0.0,0.0,5,5.0,2,90,1200,0.25,0.25,4
502,50,50,0,0,0,-0.47712125471966244,-0.9030899869919435,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,36,國立中正大學,中國文學系,041012,0.0,0.0,0.0,0.0,0.0,24,0.0,2,60,1000,0.0,0.5,2
663,50,50,0,50,0,-0.47712125471966244,-0.7781512503836436,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,36,國立中正大學,傳播學系,041142,0.0,0.0,0.0,0.0,0.0,24,0.0,3,69,1200,0.4,0.2,2
754,50,50,0,0,0,-1.0791812460476249,-1.0791812460476249,-3.4011973816621555,-1.1760912590556813,-3.4011973816621555,36,國立中正大學,嘉星招生庚組(教),041362,10.0,10.0,10.0,10.0,0.0,1,10.0,2,20,500,0.0,0.5,2
907,50,50,50,0,50,-3.4011973816621555,-1.0791812460476249,-0.7781512503836436,-3.4011973816621555,-0.47712125471966244,36,國立中正大學,化學工程學系,041182,0.0,0.0,0.0,0.0,0.0,24,0.0,3,48,1000,0.0,0.5,1
1004,0,0,50,0,50,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,通訊工程學系,041192,3.0,4.5,6.0,0.0,3.0,4,3.0,3,90,1000,0.0,0.5,7
1368,50,50,50,50,0,-0.7781512503836436,-0.5440680443502757,-3.4011973816621555,-1.0,-3.4011973816621555,36,國立中正大學,成人及繼續教育學系,041282,0.0,0.0,0.0,0.0,0.0,24,0.0,2,49,1200,0.5,0.2,2
1378,50,50,0,0,0,-0.9030899869919435,-1.0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,36,國立中正大學,歷史學系,041032,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,1200,0.35,0.25,2
643,0,0,50,0,50,-3.4011973816621555,-3.4011973816621555,-1.0,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,電機工程學系,041162,3.0,4.5,6.0,0.0,3.0,4,3.0,1,165,1000,0.0,0.5,6
686,0,50,50,0,50,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,機械工程學系,041172,3.0,4.5,6.0,0.0,4.5,4,3.0,3,144,1000,0.0,0.5,7
882,50,50,75,0,50,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,資訊工程學系,041152,3.0,3.75,4.5,0.0,3.0,4,3.0,3,186,1000,0.0,0.5,7
1108,0,0,50,0,50,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,36,國立中正大學,嘉星招生甲組(工),041302,0.0,0.0,7.5,0.0,5.0,4,5.0,2,40,500,0.0,0.5,7
1527,0,0,0,0,0,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,造形藝術學系(工藝文創組),042462,0.0,0.0,0.0,0.0,0.0,24,0.0,3,105,600,0.8,0.2,5
1653,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,藥用植物與保健學系(中藥保健組),042302,0.0,0.0,0.0,0.0,0.0,24,0.0,3,48,300,0.8,0.0,4
1783,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,生物醫學系(檢驗醫學組),042272,0.0,0.0,0.0,0.0,0.0,24,0.0,1,51,300,0.8,0.0,4
1901,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,37,大葉大學,護理學系,042362,0.0,0.0,0.0,0.0,0.0,24,0.0,2,369,600,0.4,0.2,1
2014,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,生物醫學系(生物醫藥組),042262,0.0,0.0,0.0,0.0,0.0,24,0.0,1,72,300,0.8,0.0,4
2093,0,12,0,0,0,-3.4011973816621555,-0.47712125471966244,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,藥用植物與保健學系(藥粧經絡組),042312,0.0,0.0,0.0,0.0,0.0,24,0.0,1,45,300,0.8,0.0,4
2113,0,0,0,0,0,-0.6989700043360189,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,造形藝術學系(藝術創作組),042472,0.0,0.0,0.0,0.0,0.0,24,0.0,2,105,600,0.8,0.2,5
2129,0,0,0,0,0,-1.0,-3.4011973816621555,-3.4011973816621555,-0.9030899869919435,-3.4011973816621555,37,大葉大學,空間設計學系室內設計組,042512,0.0,0.0,0.0,0.0,0.0,13,3.5,2,137,600,0.7,0.3,2
2149,12,0,0,0,0,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,37,大葉大學,視光學系,042372,3.0,3.0,0.0,0.0,0.0,9,3.0,2,114,600,0.6,0.2,7
