,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
2121,0,12,0,0,0,3.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-49.584393,-8.818626,17,靜宜大學,國際企業學系-類繁星組,018342,0.0,0.0,0.0,0.0,0.0,24,0.0,2,36,300,0.0,0.5,5
2143,0,25,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-4.529828,-13.632249,17,靜宜大學,企業管理學系-類繁星組,018322,3.0,3.0,3.0,0.0,0.0,9,3.0,2,30,300,0.0,0.5,7
1475,0,0,12,0,0,4.0,29.999999999999996,3.0,29.999999999999996,29.999999999999996,-5.0174236,-50.972103,17,靜宜大學,資訊傳播工程學系-一般組,018472,0.0,0.0,0.0,0.0,0.0,24,0.0,2,231,1100,0.3,0.2,6
1529,50,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-9.919781,-0.9209787,17,靜宜大學,大眾傳播學系-一般組,018172,4.5,3.0,0.0,0.0,0.0,9,3.0,3,102,1100,0.4,0.2,7
1533,50,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-9.354508,-1.1508796,17,靜宜大學,大眾傳播學系-類繁星組,018182,24.0,16.0,0.0,0.0,0.0,9,16.0,3,48,300,0.0,0.5,7
1555,50,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-9.717809,-0.41661844,17,靜宜大學,日本語文學系-一般組,018052,4.5,4.5,0.0,3.0,0.0,13,3.0,3,108,1100,0.3,0.2,7
1583,50,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-9.919781,-0.9209787,17,靜宜大學,日本語文學系-類繁星組,018062,4.5,4.5,0.0,3.0,0.0,13,3.0,2,60,300,0.0,0.5,7
1751,0,0,12,0,0,29.999999999999996,29.999999999999996,4.0,29.999999999999996,29.999999999999996,1.7764326,-46.98382,17,靜宜大學,資訊傳播工程學系-類繁星組,018492,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,300,0.0,0.5,6
1784,25,0,12,0,0,25.000000000000007,29.999999999999996,25.000000000000007,29.999999999999996,29.999999999999996,-10.777402,-5.2042384,17,靜宜大學,資訊傳播工程學系（APCS組）,018482,0.0,0.0,0.0,0.0,0.0,24,0.0,1,20,1100,0.3,0.2,7
1797,25,25,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-6.995873,-5.3417997,17,靜宜大學,西班牙語文學系-類繁星組,018042,7.5,7.5,0.0,5.0,0.0,9,5.0,1,50,300,0.0,0.5,7
1832,25,50,0,0,0,4.0,3.0,29.999999999999996,29.999999999999996,29.999999999999996,2.2140732,39.787758,17,靜宜大學,寰宇外語教育學士學位學程-一般組,018512,0.0,0.0,0.0,0.0,0.0,24,0.0,1,75,1100,0.3,0.2,3
1859,25,50,0,0,0,6.0,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,2.2049952,39.64088,17,靜宜大學,寰宇外語教育學士學位學程-類繁星組,018522,0.0,0.0,0.0,0.0,0.0,24,0.0,1,25,300,0.0,0.5,3
1955,25,25,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-6.9959636,-5.3417797,17,靜宜大學,西班牙語文學系-一般組,018032,4.5,4.5,0.0,3.0,0.0,9,3.0,1,207,1100,0.3,0.2,7
1516,25,0,0,0,0,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-41.786556,1.204244,17,靜宜大學,生態人文學系-類繁星組,018162,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,300,0.0,0.5,5
1526,25,0,0,0,0,3.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-43.585995,1.7301978,17,靜宜大學,生態人文學系-一般組,018152,0.0,0.0,0.0,0.0,0.0,24,0.0,3,93,1100,0.25,0.25,5
1736,0,0,25,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-13.9369135,-31.056063,17,靜宜大學,資訊工程學系-一般組,018442,3.0,3.0,6.0,0.0,0.0,5,3.0,3,234,1100,0.3,0.2,7
